,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
68,2024-05-05,Oud-Heverlee Leuven,Standard,3.0,1.0,H,0.0,1.0,A,16.0,8.0,7.0,1.0,10.0,14.0,4.0,1.0,1.0,1.0,0.0,0.0
69,2024-05-05,Antwerp,Club Brugge,1.0,2.0,A,0.0,0.0,D,10.0,10.0,5.0,4.0,10.0,11.0,2.0,3.0,3.0,1.0,0.0,0.0
70,2024-05-04,Cercle Brugge,Genk,4.0,1.0,H,3.0,1.0,H,16.0,13.0,6.0,6.0,16.0,16.0,4.0,1.0,1.0,3.0,0.0,0.0
71,2024-05-04,Mechelen,Gent,2.0,4.0,A,2.0,3.0,A,15.0,13.0,8.0,5.0,11.0,10.0,6.0,2.0,2.0,0.0,0.0,0.0
72,2024-05-04,RWD Molenbeek,Charleroi,1.0,3.0,A,0.0,3.0,A,14.0,12.0,6.0,5.0,8.0,9.0,4.0,5.0,0.0,1.0,0.0,0.0
73,2024-05-03,Westerlo,St Truiden,2.0,2.0,D,1.0,1.0,D,19.0,8.0,6.0,4.0,4.0,11.0,6.0,4.0,2.0,2.0,0.0,0.0
74,2024-04-28,RWD Molenbeek,Kortrijk,0.0,1.0,A,0.0,1.0,A,15.0,10.0,4.0,3.0,13.0,10.0,6.0,5.0,2.0,2.0,0.0,0.0
75,2024-04-28,St. Gilloise,Antwerp,4.0,1.0,H,2.0,1.0,H,14.0,3.0,10.0,2.0,14.0,9.0,3.0,2.0,2.0,4.0,0.0,0.0
76,2024-04-28,Cercle Brugge,Anderlecht,1.0,1.0,D,0.0,1.0,A,18.0,9.0,4.0,5.0,9.0,9.0,4.0,3.0,1.0,1.0,0.0,0.0
77,2024-04-28,Genk,Club Brugge,0.0,3.0,A,0.0,1.0,A,14.0,11.0,3.0,4.0,8.0,10.0,6.0,3.0,1.0,2.0,0.0,0.0
78,2024-04-27,Gent,Westerlo,3.0,2.0,H,2.0,2.0,D,15.0,23.0,6.0,7.0,9.0,12.0,3.0,10.0,2.0,3.0,0.0,0.0
79,2024-04-27,Standard,St Truiden,1.0,1.0,D,0.0,1.0,A,19.0,11.0,6.0,6.0,6.0,10.0,5.0,4.0,0.0,2.0,0.0,0.0
80,2024-04-27,Mechelen,Oud-Heverlee Leuven,3.0,0.0,H,0.0,0.0,D,17.0,17.0,7.0,4.0,10.0,12.0,4.0,3.0,1.0,1.0,0.0,0.0
81,2024-04-26,Eupen,Charleroi,1.0,2.0,A,0.0,2.0,A,12.0,12.0,2.0,4.0,13.0,15.0,4.0,5.0,2.0,1.0,0.0,0.0
82,2024-04-25,Antwerp,St. Gilloise,0.0,3.0,A,0.0,0.0,D,6.0,13.0,1.0,7.0,9.0,19.0,5.0,5.0,3.0,4.0,0.0,0.0
83,2024-04-24,Anderlecht,Cercle Brugge,3.0,0.0,H,2.0,0.0,H,12.0,7.0,5.0,4.0,6.0,12.0,4.0,2.0,1.0,4.0,0.0,0.0
84,2024-04-24,Club Brugge,Genk,4.0,0.0,H,1.0,0.0,H,15.0,12.0,7.0,4.0,12.0,16.0,0.0,4.0,0.0,1.0,0.0,0.0
85,2024-04-23,St Truiden,Gent,0.0,2.0,A,0.0,1.0,A,17.0,15.0,5.0,5.0,12.0,8.0,5.0,4.0,2.0,1.0,0.0,0.0
86,2024-04-23,Standard,Mechelen,0.0,0.0,D,0.0,0.0,D,21.0,6.0,6.0,1.0,9.0,6.0,8.0,4.0,0.0,2.0,0.0,0.0
87,2024-04-23,Westerlo,Oud-Heverlee Leuven,1.0,1.0,D,1.0,0.0,H,15.0,20.0,3.0,7.0,7.0,14.0,9.0,4.0,2.0,3.0,0.0,0.0
88,2024-04-21,Charleroi,Eupen,1.0,0.0,H,1.0,0.0,H,19.0,9.0,7.0,3.0,12.0,8.0,7.0,4.0,1.0,1.0,0.0,0.0
89,2024-04-21,St. Gilloise,Club Brugge,1.0,2.0,A,0.0,0.0,D,18.0,9.0,6.0,2.0,14.0,11.0,10.0,8.0,3.0,3.0,0.0,1.0
90,2024-04-21,Kortrijk,RWD Molenbeek,2.0,4.0,A,1.0,3.0,A,16.0,14.0,8.0,8.0,11.0,10.0,11.0,4.0,2.0,4.0,0.0,0.0
91,2024-04-21,Cercle Brugge,Antwerp,0.0,1.0,A,0.0,0.0,D,16.0,12.0,4.0,8.0,12.0,5.0,7.0,2.0,4.0,1.0,0.0,0.0
92,2024-04-20,Genk,Anderlecht,2.0,1.0,H,1.0,0.0,H,22.0,9.0,10.0,2.0,10.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0
93,2024-04-20,Gent,Mechelen,3.0,1.0,H,1.0,0.0,H,15.0,7.0,5.0,3.0,8.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0
94,2024-04-20,Westerlo,Standard,3.0,3.0,D,1.0,1.0,D,19.0,17.0,6.0,8.0,8.0,12.0,6.0,7.0,1.0,1.0,0.0,0.0
95,2024-04-20,Oud-Heverlee Leuven,St Truiden,1.0,0.0,H,0.0,0.0,D,20.0,3.0,11.0,0.0,11.0,11.0,6.0,3.0,1.0,2.0,0.0,0.0
96,2024-04-14,Oud-Heverlee Leuven,Gent,2.0,1.0,H,2.0,1.0,H,12.0,16.0,3.0,6.0,8.0,6.0,0.0,6.0,2.0,2.0,0.0,0.0
97,2024-04-14,Anderlecht,St. Gilloise,2.0,1.0,H,1.0,0.0,H,7.0,15.0,5.0,5.0,10.0,16.0,6.0,6.0,4.0,3.0,1.0,0.0
98,2024-04-14,Kortrijk,Charleroi,1.0,2.0,A,1.0,0.0,H,9.0,12.0,2.0,5.0,11.0,12.0,4.0,3.0,0.0,1.0,0.0,0.0
99,2024-04-14,Club Brugge,Antwerp,3.0,0.0,H,1.0,0.0,H,13.0,8.0,6.0,3.0,10.0,14.0,5.0,3.0,2.0,2.0,0.0,0.0
100,2024-04-13,Genk,Cercle Brugge,1.0,1.0,D,1.0,0.0,H,13.0,10.0,5.0,2.0,7.0,16.0,6.0,5.0,0.0,4.0,0.0,1.0
101,2024-04-13,Mechelen,Westerlo,3.0,2.0,H,0.0,2.0,A,23.0,14.0,6.0,7.0,13.0,7.0,13.0,6.0,1.0,4.0,0.0,1.0
102,2024-04-13,RWD Molenbeek,Eupen,3.0,1.0,H,1.0,1.0,D,11.0,8.0,5.0,3.0,16.0,13.0,7.0,4.0,1.0,3.0,0.0,0.0
103,2024-04-12,St Truiden,Standard,3.0,3.0,D,1.0,1.0,D,16.0,17.0,8.0,10.0,10.0,11.0,4.0,3.0,4.0,4.0,0.0,0.0
104,2024-04-07,Westerlo,Gent,0.0,3.0,A,0.0,2.0,A,3.0,21.0,3.0,7.0,16.0,13.0,1.0,8.0,5.0,2.0,2.0,0.0
105,2024-04-07,Club Brugge,Anderlecht,3.0,1.0,H,1.0,0.0,H,20.0,13.0,8.0,7.0,8.0,12.0,3.0,2.0,1.0,5.0,0.0,0.0
106,2024-04-07,Eupen,Kortrijk,1.0,1.0,D,0.0,0.0,D,7.0,12.0,2.0,4.0,9.0,10.0,2.0,4.0,1.0,2.0,0.0,0.0
107,2024-04-07,St. Gilloise,Cercle Brugge,2.0,3.0,A,1.0,2.0,A,14.0,8.0,9.0,4.0,10.0,20.0,4.0,3.0,2.0,5.0,0.0,0.0
108,2024-04-06,Antwerp,Genk,0.0,1.0,A,0.0,1.0,A,11.0,18.0,2.0,6.0,14.0,12.0,6.0,5.0,3.0,1.0,0.0,0.0
109,2024-04-06,Standard,Oud-Heverlee Leuven,0.0,0.0,D,0.0,0.0,D,13.0,8.0,6.0,2.0,12.0,13.0,6.0,2.0,2.0,2.0,0.0,0.0
110,2024-04-06,Charleroi,RWD Molenbeek,0.0,0.0,D,0.0,0.0,D,14.0,10.0,3.0,3.0,14.0,12.0,11.0,6.0,1.0,4.0,0.0,0.0
111,2024-04-05,Mechelen,St Truiden,2.0,3.0,A,1.0,0.0,H,17.0,16.0,6.0,7.0,9.0,13.0,5.0,4.0,2.0,2.0,0.0,0.0
112,2024-04-01,Genk,St. Gilloise,1.0,0.0,H,1.0,0.0,H,7.0,12.0,3.0,4.0,11.0,18.0,2.0,9.0,1.0,1.0,0.0,1.0
113,2024-04-01,Cercle Brugge,Club Brugge,1.0,1.0,D,1.0,0.0,H,10.0,28.0,4.0,7.0,11.0,7.0,0.0,8.0,0.0,1.0,0.0,0.0
114,2024-03-31,St Truiden,Westerlo,2.0,0.0,H,1.0,0.0,H,14.0,13.0,6.0,5.0,11.0,10.0,7.0,3.0,0.0,1.0,0.0,0.0
115,2024-03-30,Anderlecht,Antwerp,1.0,0.0,H,0.0,0.0,D,20.0,8.0,8.0,2.0,8.0,7.0,4.0,3.0,2.0,4.0,0.0,1.0
116,2024-03-30,Oud-Heverlee Leuven,Mechelen,2.0,3.0,A,0.0,1.0,A,18.0,11.0,5.0,8.0,8.0,16.0,7.0,7.0,1.0,5.0,0.0,1.0
117,2024-03-29,Gent,Standard,5.0,1.0,H,1.0,1.0,D,15.0,11.0,8.0,4.0,12.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0
118,2024-03-17,Cercle Brugge,RWD Molenbeek,4.0,0.0,H,2.0,0.0,H,20.0,4.0,8.0,1.0,6.0,11.0,11.0,4.0,1.0,4.0,0.0,1.0
119,2024-03-17,Gent,Charleroi,5.0,0.0,H,2.0,0.0,H,13.0,12.0,9.0,5.0,8.0,10.0,1.0,6.0,0.0,2.0,0.0,0.0
120,2024-03-17,Oud-Heverlee Leuven,Mechelen,1.0,0.0,H,0.0,0.0,D,14.0,16.0,4.0,5.0,14.0,9.0,3.0,6.0,4.0,1.0,0.0,0.0
121,2024-03-17,Westerlo,Genk,1.0,1.0,D,0.0,0.0,D,12.0,9.0,4.0,2.0,10.0,13.0,5.0,6.0,4.0,1.0,0.0,1.0
122,2024-03-17,Antwerp,St. Gilloise,1.0,1.0,D,0.0,0.0,D,9.0,13.0,3.0,4.0,12.0,12.0,4.0,3.0,3.0,5.0,0.0,1.0
123,2024-03-17,St Truiden,Club Brugge,2.0,1.0,H,0.0,1.0,A,13.0,19.0,5.0,8.0,5.0,10.0,4.0,8.0,0.0,1.0,0.0,0.0
124,2024-03-16,Anderlecht,Kortrijk,0.0,1.0,A,0.0,0.0,D,17.0,11.0,5.0,4.0,7.0,13.0,5.0,6.0,1.0,2.0,0.0,0.0
125,2024-03-16,Standard,Eupen,4.0,0.0,H,2.0,0.0,H,13.0,9.0,5.0,5.0,2.0,17.0,5.0,5.0,0.0,0.0,0.0,0.0
126,2024-03-10,Eupen,St Truiden,1.0,0.0,H,1.0,0.0,H,7.0,17.0,2.0,5.0,12.0,15.0,4.0,3.0,3.0,1.0,0.0,0.0
