,Unnamed: 0,Home Full-T Goals,Away Full-T Goals,Home Half-T Goals,Away Half-T Goals,Home Shots,Away Shots,Home Shots Target,Away Shots Target,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Full Result_enc,Half Result_enc,Home_avg5Goal,Away_avg5Goal,Home_avg10Goal,Away_avg10Goal,Home_avg20Goal,Away_avg20Goal,HomeTeamEnc,AwayTeamEnc
444,444,3.0,3.0,2.0,2.0,8.0,16.0,5.0,9.0,7.0,6.0,3.0,6.0,1.0,1.0,0.0,0.0,2,2.0,2.0,1.4,1.9,1.8,1.45,2.25,21,8
445,445,1.0,1.0,1.0,1.0,10.0,19.0,4.0,2.0,13.0,10.0,5.0,3.0,1.0,4.0,0.0,0.0,2,2.0,1.6,1.4,1.4,1.3,1.9,1.5,5,17
446,446,2.0,1.0,0.0,1.0,11.0,14.0,3.0,4.0,16.0,16.0,4.0,2.0,0.0,4.0,0.0,0.0,0,1.0,0.8,1.8,0.6,1.8,0.5,1.95,6,10
447,447,0.0,0.0,0.0,0.0,7.0,11.0,1.0,5.0,12.0,10.0,6.0,7.0,1.0,0.0,0.0,0.0,2,2.0,1.6,1.2,1.4,1.4,1.15,1.4,13,3
448,448,4.0,0.0,1.0,0.0,14.0,7.0,8.0,1.0,8.0,9.0,2.0,3.0,0.0,1.0,0.0,0.0,0,0.0,1.4,2.2,1.3,2.0,1.5,1.7,17,20
449,449,2.0,3.0,1.0,1.0,20.0,11.0,6.0,5.0,12.0,12.0,4.0,3.0,1.0,1.0,0.0,0.0,1,2.0,1.4,1.8,1.8,1.2,2.25,1.0,8,7
450,450,2.0,2.0,2.0,0.0,10.0,17.0,7.0,8.0,12.0,11.0,4.0,7.0,0.0,3.0,1.0,0.0,2,0.0,1.8,1.6,1.8,1.7,1.95,1.1,10,4
451,451,0.0,0.0,0.0,0.0,7.0,4.0,2.0,1.0,12.0,22.0,2.0,5.0,1.0,5.0,0.0,0.0,2,2.0,1.6,1.6,1.4,1.4,1.15,1.9,1,5
452,452,1.0,0.0,1.0,0.0,7.0,9.0,2.0,4.0,11.0,9.0,2.0,2.0,1.0,3.0,0.0,0.0,0,0.0,1.2,1.0,1.1,1.0,1.15,1.05,16,9
453,453,1.0,1.0,0.0,1.0,7.0,15.0,3.0,6.0,18.0,7.0,4.0,7.0,1.0,0.0,0.0,0.0,2,1.0,0.8,2.0,0.6,1.9,0.5,1.45,6,21
454,454,2.0,1.0,1.0,1.0,14.0,19.0,4.0,5.0,10.0,10.0,7.0,11.0,1.0,0.0,0.0,0.0,0,2.0,0.6,1.6,0.5,1.4,0.7,1.15,15,13
455,455,1.0,1.0,0.0,0.0,13.0,8.0,3.0,2.0,21.0,14.0,4.0,1.0,3.0,3.0,0.0,0.0,2,2.0,1.2,0.4,1.4,0.7,1.4,1.2,3,18
456,456,0.0,2.0,0.0,1.0,11.0,12.0,4.0,3.0,18.0,13.0,3.0,2.0,3.0,1.0,0.0,0.0,1,1.0,0.8,1.4,1.2,1.1,1.1,1.45,12,0
457,457,1.0,1.0,1.0,1.0,10.0,14.0,4.0,5.0,15.0,13.0,3.0,7.0,5.0,4.0,0.0,0.0,2,2.0,0.8,1.8,0.6,1.2,0.5,1.0,6,7
458,458,4.0,0.0,2.0,0.0,12.0,6.0,9.0,0.0,7.0,15.0,3.0,4.0,0.0,2.0,0.0,0.0,0,0.0,1.8,0.6,1.2,0.5,1.0,0.7,7,15
459,459,1.0,2.0,1.0,2.0,11.0,12.0,4.0,2.0,8.0,17.0,4.0,8.0,2.0,4.0,1.0,0.0,1,1.0,2.2,1.6,2.0,1.4,1.7,1.9,20,5
460,460,3.0,2.0,0.0,0.0,10.0,9.0,6.0,5.0,18.0,7.0,4.0,2.0,1.0,1.0,0.0,0.0,0,2.0,1.2,1.4,1.4,1.8,1.4,2.25,3,8
461,461,0.0,0.0,0.0,0.0,7.0,12.0,0.0,4.0,12.0,10.0,6.0,2.0,4.0,3.0,1.0,1.0,2,2.0,1.4,1.6,1.1,1.4,1.45,1.15,0,1
462,462,0.0,1.0,0.0,1.0,5.0,9.0,1.0,3.0,17.0,8.0,2.0,8.0,3.0,3.0,0.0,0.0,1,1.0,1.6,1.4,1.7,1.3,1.1,1.5,4,17
463,463,2.0,2.0,1.0,1.0,14.0,22.0,3.0,7.0,12.0,8.0,2.0,5.0,1.0,0.0,0.0,0.0,2,2.0,1.0,0.8,1.0,1.2,1.05,1.1,9,12
464,464,1.0,1.0,0.0,1.0,13.0,8.0,5.0,4.0,7.0,18.0,6.0,3.0,0.0,3.0,0.0,0.0,2,1.0,1.6,1.2,1.4,1.1,1.15,1.15,13,16
